A0JE50	A0JE50
AF-A0A416RJZ9-F1-model_v4	AF-A0A416RJZ9-F1-model_v4
AF-A0A854E766-F1-model_v4	AF-A0A854E766-F1-model_v4
AF-A0AB35XH07-F1-model_v6	AF-A0AB35XH07-F1-model_v6
AF-Q08JA6-F1-model_v6	AF-Q08JA6-F1-model_v6
AF-Q8GRG4-F1-model_v6	AF-Q8GRG4-F1-model_v6
E5LCR3	E5LCR3
O06916	O06916
P00552	P00552
P00552	Q51418
P00553	P00553
P00557	P00557
P09979	P09979
P13250	P13250
P13250	Q53558
P13250	P00555
P13250	Q9F9M5
P14508	P14508
P18622	P18622
P18622	P08077
P72441	P72441
P96762	P96762
Q0ZNJ3	Q0ZNJ3
Q0ZNJ3	P18150
Q4VR94	Q4VR94
Q58M16	Q58M16
Q58M16	O68183
Q6MXT4	Q6MXT4
Q6MXT4	P14509
Q93ET9	Q93ET9
Q93ET9	AF-A0A1L5KKZ3-F1-model_v4
S3N4B0	S3N4B0
S3N4B0	P09885
S3N4B0	Q4A4J8
S3N4B0	N8ZRE3
