AF-A0A416RJZ9-F1-model_v4	AF-A0A416RJZ9-F1-model_v4
AF-A0A416RJZ9-F1-model_v4	N8ZRE3
AF-A0A416RJZ9-F1-model_v4	P14508
AF-A0A416RJZ9-F1-model_v4	S3N4B0
AF-A0A416RJZ9-F1-model_v4	P09885
AF-A0A416RJZ9-F1-model_v4	Q4A4J8
AF-Q08JA6-F1-model_v6	AF-Q08JA6-F1-model_v6
AF-Q08JA6-F1-model_v6	AF-A0AB35XH07-F1-model_v6
E5LCR3	E5LCR3
E5LCR3	A0JE50
E5LCR3	P18150
E5LCR3	P00552
E5LCR3	AF-Q8GRG4-F1-model_v6
E5LCR3	P00553
E5LCR3	P13250
E5LCR3	Q0ZNJ3
E5LCR3	Q51418
E5LCR3	Q53558
E5LCR3	P00555
E5LCR3	Q6MXT4
E5LCR3	P14509
E5LCR3	Q9F9M5
O06916	O06916
O06916	AF-A0A854E766-F1-model_v4
P00557	P00557
P09979	P09979
P18622	P18622
P18622	P08077
P72441	P72441
P96762	P96762
Q58M16	Q58M16
Q58M16	O68183
Q58M16	Q4VR94
Q58M16	Q93ET9
Q58M16	AF-A0A1L5KKZ3-F1-model_v4
