AF-Q08JA6-F1-model_v6	AF-Q08JA6-F1-model_v6
AF-Q08JA6-F1-model_v6	AF-A0AB35XH07-F1-model_v6
AF-Q08JA6-F1-model_v6	P18622
AF-Q08JA6-F1-model_v6	P08077
P00557	P00557
P09979	P09979
P72441	P72441
P72441	AF-A0A854E766-F1-model_v4
P72441	O06916
Q0ZNJ3	Q0ZNJ3
Q0ZNJ3	A0JE50
Q0ZNJ3	P18150
Q0ZNJ3	Q53558
Q0ZNJ3	P00555
Q0ZNJ3	S3N4B0
Q0ZNJ3	AF-A0A416RJZ9-F1-model_v4
Q0ZNJ3	P09885
Q0ZNJ3	Q4A4J8
Q0ZNJ3	N8ZRE3
Q0ZNJ3	P14508
Q0ZNJ3	AF-Q8GRG4-F1-model_v6
Q0ZNJ3	P00552
Q0ZNJ3	P00553
Q0ZNJ3	E5LCR3
Q0ZNJ3	P13250
Q0ZNJ3	Q9F9M5
Q0ZNJ3	Q51418
Q0ZNJ3	P14509
Q0ZNJ3	Q6MXT4
Q58M16	Q58M16
Q58M16	O68183
Q58M16	P96762
Q58M16	Q4VR94
Q58M16	Q93ET9
Q58M16	AF-A0A1L5KKZ3-F1-model_v4
