query_A	A0A386JBC5.pdb	5.829E-01	5.146E-01	5.011E-01	17.500	295	320	304
query_A	PJM-1.pdb	5.192E-01	4.916E-01	4.834E-01	20.200	295	326	301
query_A	AF-A0A1L6K5X8-F1-model_v4.pdb	5.749E-01	5.052E-01	4.951E-01	18.100	295	314	302
query_A	AF-Q9AEF9-F1-model_v4.pdb	5.076E-01	4.757E-01	4.484E-01	17.600	295	340	316
query_A	B5L5V2.pdb	5.443E-01	4.818E-01	4.720E-01	16.000	295	312	302
query_A	B5L5V0.pdb	5.402E-01	4.942E-01	4.850E-01	18.400	295	320	302
query_A	B5DCA0.pdb	5.192E-01	4.902E-01	4.801E-01	18.100	295	330	303
query_A	MBL1b.pdb	4.749E-01	4.658E-01	4.734E-01	16.800	295	332	289
query_A	ECM-1.pdb	5.188E-01	4.737E-01	4.628E-01	18.100	295	331	303
query_A	Q8KKG1.pdb	4.695E-01	4.544E-01	4.624E-01	15.900	295	326	289
query_A	A0A0C5LQ34.pdb	5.246E-01	4.997E-01	5.150E-01	15.500	295	321	285
query_A	AF-A0A1L6K5Y8-F1-model_v4.pdb	5.383E-01	4.817E-01	4.510E-01	17.700	295	332	318
query_A	NWM.pdb	6.315E-01	4.973E-01	4.763E-01	15.800	295	258	310
query_A	AF-K4GMG9-F1-model_v6.pdb	4.584E-01	4.514E-01	4.379E-01	18.300	295	349	305
query_A	A0A0C5LDH9.pdb	4.474E-01	4.271E-01	3.774E-01	18.000	295	327	341
query_A	AF-K4GMK0-F1-model_v4.pdb	5.062E-01	4.746E-01	4.454E-01	17.700	295	344	318
query_A	AF-A0A4D6P0I4-F1-model_v4.pdb	5.809E-01	5.122E-01	5.264E-01	15.800	295	303	286
query_A	AF-A0A1L5BQA7-F1-model_v4.pdb	5.256E-01	4.909E-01	4.750E-01	16.700	295	334	307
query_A	Q9K578.pdb	4.964E-01	4.670E-01	4.845E-01	15.700	295	305	282
query_A	AF-A0A0D6SYW3-F1-model_v4.pdb	5.621E-01	4.904E-01	5.040E-01	17.100	295	304	286
query_A	AF-A0A1L6K5Z9-F1-model_v4.pdb	5.012E-01	4.684E-01	4.578E-01	16.200	295	339	303
query_A	B5L5X0.pdb	5.319E-01	4.743E-01	4.686E-01	14.400	295	305	300
query_A	AF-K4GMG4-F1-model_v4.pdb	4.667E-01	4.601E-01	4.367E-01	15.600	295	346	313
query_A	B3SU1.pdb	5.014E-01	4.636E-01	4.531E-01	14.500	295	336	303
query_A	B5L5V3.pdb	5.507E-01	4.878E-01	4.739E-01	18.800	295	308	305
query_A	G5ELM3.pdb	4.986E-01	4.762E-01	4.970E-01	15.500	295	316	280
query_A	A0A0C5LDD9.pdb	5.505E-01	4.790E-01	4.916E-01	14.800	295	297	286
query_A	GRD33.pdb	4.664E-01	4.531E-01	4.608E-01	15.500	295	327	289
query_A	AF-Q6D395-F1-model_v4.pdb	5.437E-01	4.587E-01	4.012E-01	14.700	295	298	342
query_A	Q9JRP7.pdb	5.593E-01	4.935E-01	4.935E-01	15.900	295	313	295
query_A	U3U4Q6.pdb	6.104E-01	5.272E-01	5.403E-01	18.000	295	305	287
query_A	B5L5V5.pdb	5.296E-01	4.619E-01	4.648E-01	11.800	295	311	293
query_A	AF-A8GGW7-F1-model_v4.pdb	4.506E-01	4.364E-01	4.325E-01	17.000	295	334	298
query_A	AF-K4GMF9-F1-model_v4.pdb	4.985E-01	4.529E-01	4.438E-01	15.600	295	332	302
query_A	A0A0C5LQ44.pdb	4.830E-01	4.553E-01	4.619E-01	17.100	295	326	290
query_A	Q5EEU4.pdb	5.491E-01	4.400E-01	4.465E-01	12.500	295	263	290
query_A	Q4JRB6.pdb	5.096E-01	4.696E-01	4.765E-01	12.200	295	310	290
query_A	B5L5V9.pdb	5.227E-01	4.521E-01	4.532E-01	14.600	295	308	294
query_A	A0A0C5L392.pdb	5.028E-01	4.548E-01	4.683E-01	11.600	295	318	285
query_A	Q6DTI8.pdb	4.871E-01	4.486E-01	4.526E-01	11.700	295	314	292
query_A	B5L5W3.pdb	4.838E-01	4.477E-01	4.386E-01	14.300	295	327	302
query_A	Q6DTI9.pdb	4.890E-01	4.465E-01	4.533E-01	12.100	295	314	290
